condition,agent_type,seed,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
reset_d50,dqn,4,100.0,96.66666666666667,0.0,80,5,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.0,1.0,1.0,0.0,1.0,0.0,0.0
reset_d50,scripted,4,100.0,100.0,100.0,19,12,8,1.0,1.0,1.0,0.8947368421052632,0.4166666666666667,1.0,0.10526315789473684,0.5833333333333334,0.0,0.10526315789473684,0.5833333333333334,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
reset_d100,dqn,4,100.0,96.66666666666667,0.0,80,5,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609756097560976,0.0,1.0,1.0,0.0,1.0,0.0,0.0
reset_d100,scripted,4,100.0,100.0,100.0,19,12,7,1.0,1.0,1.0,0.8947368421052632,0.4166666666666667,0.8571428571428571,0.10526315789473684,0.5833333333333334,0.14285714285714285,0.10526315789473684,0.5833333333333334,0.14285714285714285,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,5,68.33333333333333,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0
no_crisis,scripted,5,100.0,100.0,100.0,19,4,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,1.0
ordinary_disturbance,dqn,5,68.33333333333333,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0
ordinary_disturbance,scripted,5,100.0,100.0,100.0,19,5,7,1.0,1.0,1.0,1.0,0.8,1.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,0.0
cert_crisis_used_channel,dqn,5,68.33333333333333,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0
cert_crisis_used_channel,scripted,5,100.0,100.0,100.0,19,6,12,1.0,1.0,1.0,1.0,0.3333333333333333,0.4166666666666667,0.0,0.6666666666666666,0.5833333333333334,0.0,0.6666666666666666,0.5833333333333334,0.0,0.0,0.0,0.10526315789473684,0.0,0.16666666666666666,1.0,0.0,1.0
cert_crisis_unused_channel,dqn,5,68.33333333333333,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0
cert_crisis_unused_channel,scripted,5,100.0,100.0,100.0,19,4,16,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0
reset_d10,dqn,5,68.33333333333333,33.33333333333333,33.33333333333333,18,0,0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0
reset_d10,scripted,5,100.0,100.0,100.0,19,4,6,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,1.0,0.0,0.0
