sigma,s,theta,rhoP,prob_closed_open_start,mean_B,std_B
0.16666666666666666,0.8142857142857143,0.196,0.02,0.0,0.2746070244981484,0.018898733473933556
0.16666666666666666,0.8714285714285714,0.196,0.02,0.0,0.2813780371919865,0.01908520686461099
0.16666666666666666,0.9285714285714286,0.196,0.02,0.0,0.28822353700949044,0.01926806162038293
0.16666666666666666,0.9857142857142858,0.196,0.02,0.0,0.2951486564830821,0.019447662864310072
0.16666666666666666,1.0428571428571427,0.196,0.02,0.0,0.30215910587915645,0.019624368352901433
0.16666666666666666,1.1,0.196,0.02,0.0,0.3092612052775404,0.019798526924591615
0.16666666666666666,1.157142857142857,0.196,0.02,0.0,0.3164619206760664,0.019970477038650396
0.16666666666666666,1.2142857142857144,0.196,0.02,0.0,0.32376890417925913,0.020140545302440367
0.16666666666666666,1.2714285714285714,0.196,0.02,0.0,0.33119053820724154,0.020309044879198677
0.16666666666666666,1.3285714285714287,0.196,0.02,0.0,0.33873598348510703,0.020476273660860876
0.16666666666666666,1.3857142857142857,0.196,0.02,0.0,0.34641523032510135,0.020642512080258992
0.16666666666666666,1.4428571428571428,0.196,0.02,0.0,0.3542391523696115,0.020808020423812506
0.16666666666666666,1.5,0.196,0.02,0.0,0.3622195614914369,0.020973035489212435
0.2,0.7,0.196,0.02,0.0,0.3049613414204178,0.021002694304250433
0.2,0.7571428571428571,0.196,0.02,0.0,0.31099475786663433,0.021145912591215926
0.2,0.8142857142857143,0.196,0.02,0.0,0.31707767758315275,0.021287473159829384
0.2,0.8714285714285714,0.196,0.02,0.0,0.3232142783800673,0.021427665728349768
0.2,0.9285714285714286,0.196,0.02,0.0,0.3294091419606678,0.02156677052273052
0.2,0.9857142857142858,0.196,0.02,0.0,0.3356672793481343,0.02170505852239825
0.2,1.0428571428571427,0.196,0.02,0.0,0.34199415949146067,0.021842791568205473
0.2,1.1,0.196,0.02,0.0,0.3483957412197073,0.021980222282346123
0.2,1.157142857142857,0.196,0.02,0.0,0.3548785086697895,0.022117593747717847
0.2,1.2142857142857144,0.196,0.02,0.0,0.36144951024313693,0.022255138889454424
0.2,1.2714285714285714,0.196,0.02,0.0,0.368116401040796,0.022393079493905746
0.2,1.3285714285714287,0.196,0.02,0.0,0.374887488571725,0.022531624789973267
0.2,1.3857142857142857,0.196,0.02,0.0,0.38177178130787487,0.022670969504127787
0.2,1.4428571428571428,0.196,0.02,0.0,0.38877903934985414,0.02281129128336736
0.2,1.5,0.196,0.02,0.0,0.39591982604015985,0.02295274735955616
0.23333333333333334,0.7,0.196,0.02,0.0,0.3416832350442255,0.022804268997680652
0.23333333333333334,0.7571428571428571,0.196,0.02,0.0,0.34715006715371577,0.02292071703963266
