rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.16842105263157894,1.5947368421052632,intermediate,closed,bistable,0.21913295604945118,1.0,0.8580968775912945,0.09328529423174463,0.33078317049408934,0.7717613933011823
0.01,0.16842105263157894,1.6631578947368422,intermediate,closed,bistable,0.2325900149485494,1.0,0.8543039776132431,0.09315074977120265,0.33230529861014446,0.771789484837994
0.01,0.16842105263157894,1.731578947368421,intermediate,closed,bistable,0.24626457910828387,1.0,0.8505264189892037,0.09309917264115608,0.33390139199974667,0.7718948844843345
0.01,0.16842105263157894,1.8,intermediate,closed,bistable,0.26021896202104355,1.0,0.8466227330200204,0.09303161184512086,0.33559313244151967,0.7719075698091928
0.01,0.18105263157894735,0.5,open,open,open,0.022539737358632086,0.05613786076333199,0.9018085040919143,0.37154656247669654,0.11311394701894043,0.33522517393720597
0.01,0.18105263157894735,0.5684210526315789,open,open,open,0.023098753699351087,0.06227776604155169,0.9016841938573753,0.37594776661047324,0.11311658214106343,0.3372747544138543
0.01,0.18105263157894735,0.6368421052631579,open,open,open,0.023734208685260803,0.06911905928133531,0.9015862874724292,0.38233221120670824,0.11365884093762099,0.3394678627614767
0.01,0.18105263157894735,0.7052631578947368,open,open,open,0.024442851439110163,0.07660183918917599,0.9014928666815318,0.3914228869910551,0.11448052502247649,0.3417063444757975
0.01,0.18105263157894735,0.7736842105263158,open,open,open,0.02517308371090452,0.08474592545731761,0.9013738971591319,0.40356331362392583,0.11503545792796238,0.34393513817475174
0.01,0.18105263157894735,0.8421052631578947,open,open,open,0.025989942024223982,0.0935224625994527,0.9012557869712448,0.4192293803206776,0.11587477083826905,0.34606089896653586
0.01,0.18105263157894735,0.9105263157894737,open,open,open,0.026867366264995963,0.10290261528344902,0.9011237948286348,0.4383632419552819,0.11672367798235661,0.3480086229862288
0.01,0.18105263157894735,0.9789473684210527,open,closed,bistable,0.027760969626909014,0.9999565717646988,0.900969027092684,0.10426819344124824,0.11729603036377097,0.7617448194265125
0.01,0.18105263157894735,1.0473684210526315,open,closed,bistable,0.028763817623403357,1.0,0.9008090934674736,0.09970207107713104,0.11815984172544168,0.7668449542328379
